"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-04 ~ 2026-04-03"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"44","서울특별시 강남구 압구정동","490","0490","0000","한양1차(영동한양)","63.8700","202603","09","357,000","1","2","개인","개인","1977","압구정로 321","-","직거래","-","26.03.25"
"45","서울특별시 강남구 도곡동","550-1","0550","0001","파크힐","58.0500","202603","09","95,000","-","4","개인","개인","2005","도곡로14길 14-1","-","중개거래","서울 강남구","-"
"46","서울특별시 강남구 수서동","746","0746","0000","까치마을","34.4400","202603","09","145,000","-","4","개인","개인","1993","광평로19길 10","-","중개거래","서울 강남구","-"
"47","서울특별시 강남구 청담동","44-21","0044","0021","청담3차이-편한세상(301동)","71.6300","202603","07","224,500","-","9","개인","개인","2007","선릉로132길 54","-","중개거래","서울 강남구","-"
"48","서울특별시 강남구 역삼동","838-10","0838","0010","강남웅진베어스빌","20.6300","202603","07","32,900","-","15","개인","개인","2019","도곡로 113","-","중개거래","서울 강남구","-"
"49","서울특별시 강남구 삼성동","2","0002","0000","서광아파트","59.6700","202603","07","263,000","-","9","개인","개인","1998","선릉로130길 19","20260402","중개거래","서울 강남구","-"
"50","서울특별시 강남구 삼성동","2","0002","0000","서광아파트","59.6700","202603","07","263,000","-","9","개인","개인","1998","선릉로130길 19","-","중개거래","서울 강남구","-"
"51","서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","151.3100","202603","07","650,000","-","10","개인","개인","2015","삼성로51길 35","-","중개거래","서울 강남구","-"
"52","서울특별시 강남구 청담동","43-1","0043","0001","현대빌라(43-1)","148.7700","202603","07","250,000","-","6","개인","개인","1992","선릉로132길 42","-","중개거래","서울 강남구","-"
"53","서울특별시 강남구 수서동","746","0746","0000","까치마을","34.4400","202603","07","150,000","-","6","개인","개인","1993","광평로19길 10","-","중개거래","서울 강남구, 서울 송파구","-"
"54","서울특별시 강남구 논현동","22","0022","0000","신동아(22)","114.3400","202603","06","259,000","-","6","개인","개인","1997","강남대로146길 28","-","중개거래","서울 강남구, 서울 서초구","-"
"55","서울특별시 강남구 도곡동","933","0933","0000","도곡쌍용예가","142.7700","202603","06","330,000","-","7","개인","개인","1978","남부순환로363길 30","-","중개거래","서울 강남구, 서울 중구","-"
"56","서울특별시 강남구 역삼동","755-4","0755","0004","e-편한세상","59.6060","202603","05","280,000","-","3","개인","개인","2005","선릉로69길 20","-","중개거래","서울 강남구","-"
"57","서울특별시 강남구 논현동","102-9","0102","0009","논현빌라트","50.1000","202603","05","64,000","-","5","개인","개인","1999","선릉로137길 6","-","중개거래","서울 강남구","-"
"58","서울특별시 강남구 대치동","975-20","0975","0020","세영팔레스타운","84.8500","202603","05","236,700","-","8","개인","개인","2002","영동대로65길 57","-","중개거래","서울 강남구","-"
"59","서울특별시 강남구 대치동","1014-3","1014","0003","대치삼성","59.8800","202603","05","250,000","-","1","개인","개인","2000","도곡로78길 22","-","중개거래","서울 강남구","-"
"60","서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.9200","202603","05","300,000","-","11","개인","개인","2020","개포로 264","-","중개거래","서울 강남구","-"
"61","서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.7300","202603","05","115,000","-","2","개인","개인","1997","강남대로146길 28","-","중개거래","서울 강남구","-"
"62","서울특별시 강남구 일원동","711","0711","0000","수서","59.9400","202603","04","183,500","-","9","개인","개인","1992","양재대로55길 12","-","중개거래","서울 강남구","-"
"63","서울특별시 강남구 역삼동","720-25","0720","0025","대우디오빌","59.1450","202603","04","64,000","-","4","개인","개인","2002","언주로 427","-","중개거래","서울 강남구","-"
"64","서울특별시 강남구 수서동","746","0746","0000","까치마을","34.4400","202603","04","154,500","-","9","개인","개인","1993","광평로19길 10","-","중개거래","서울 강남구","-"
"65","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","84.3900","202603","04","175,000","-","7","개인","개인","2015","자곡로3길 21","-","중개거래","서울 강남구","-"
"66","서울특별시 강남구 압구정동","397","0397","0000","미성2차","118.6300","202603","04","625,000","-","14","개인","개인","1987","압구정로 113","-","중개거래","서울 강남구","-"
"67","서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.1800","202603","03","162,000","-","6","개인","개인","1992","개포로109길 9","-","중개거래","서울 강남구","-"
"68","서울특별시 강남구 자곡동","611","0611","0000","래미안강남힐즈","101.9400","202603","03","238,000","-","9","개인","개인","2014","자곡로 101","-","중개거래","서울 강남구","-"
"69","서울특별시 강남구 청담동","43","0043","0000","청담우방아파트","118.5300","202603","03","268,000","-","11","개인","개인","1999","학동로 409","-","중개거래","서울 강남구","-"
"70","서울특별시 강남구 청담동","44-21","0044","0021","청담3차이-편한세상(301동)","84.0900","202603","03","260,000","-","4","개인","개인","2007","선릉로132길 54","-","중개거래","서울 강남구","-"
"71","서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.5300","202603","03","185,000","-","4","개인","개인","1992","개포로109길 9","-","중개거래","서울 강남구","-"
"72","서울특별시 강남구 역삼동","823-7","0823","0007","강남역우정에쉐르","26.6800","202603","03","56,000","-","13","개인","개인","2004","테헤란로10길 10","-","중개거래","서울 중랑구","-"
"73","서울특별시 강남구 역삼동","720-25","0720","0025","대우디오빌","30.0300","202603","03","30,000","-","11","개인","개인","2002","언주로 427","-","중개거래","서울 강남구","26.03.16"
"74","서울특별시 강남구 도곡동","952","0952","0000","대우디오빌","31.8100","202603","03","31,600","-","11","개인","개인","2004","강남대로 256","-","중개거래","서울 강남구","-"
